,owner,img1,img2,target
0,3,genuine_bin/NFI-00304003.png,genuine_bin/NFI-00305003.png,1
1,27,forged_bin/NFI-00101027.PNG,genuine_bin/NFI-02702027.PNG,0
2,27,forged_bin/NFI-00104027.PNG,genuine_bin/NFI-02703027.PNG,0
3,26,genuine_bin/NFI-02601026.PNG,genuine_bin/NFI-02604026.PNG,1
4,1,forged_bin/NFI-00302001.png,genuine_bin/NFI-00101001.png,0
5,30,forged_bin/NFI-00101030.PNG,genuine_bin/NFI-03003030.PNG,0
6,30,forged_bin/NFI-00105030.PNG,genuine_bin/NFI-03001030.PNG,0
7,16,forged_bin/NFI-01102016.png,genuine_bin/NFI-01603016.png,0
8,19,genuine_bin/NFI-01902019.png,genuine_bin/NFI-01903019.png,1
9,24,forged_bin/NFI-00404024.png,genuine_bin/NFI-02403024.png,0
10,25,forged_bin/NFI-00101025.PNG,genuine_bin/NFI-02502025.PNG,0
11,14,genuine_bin/NFI-01401014.png,genuine_bin/NFI-01404014.png,1
12,18,forged_bin/NFI-00301018.png,genuine_bin/NFI-01802018.png,0
13,28,genuine_bin/NFI-02803028.PNG,genuine_bin/NFI-02805028.PNG,1
14,4,forged_bin/NFI-08805004.png,genuine_bin/NFI-00403004.png,0
15,6,forged_bin/NFI-03302006.png,genuine_bin/NFI-00603006.png,0
16,3,forged_bin/NFI-00402003.png,genuine_bin/NFI-00303003.png,0
17,4,forged_bin/NFI-08802004.png,genuine_bin/NFI-00401004.png,0
18,10,forged_bin/NFI-02504010.png,genuine_bin/NFI-01002010.png,0
19,21,genuine_bin/NFI-02104021.png,genuine_bin/NFI-02105021.png,1
20,24,genuine_bin/NFI-02403024.png,genuine_bin/NFI-02405024.png,1
21,30,forged_bin/NFI-00101030.PNG,genuine_bin/NFI-03001030.PNG,0
22,8,genuine_bin/NFI-00801008.png,genuine_bin/NFI-00802008.png,1
23,19,forged_bin/NFI-00101019.png,genuine_bin/NFI-01902019.png,0
24,11,forged_bin/NFI-00705011.png,genuine_bin/NFI-01102011.png,0
25,27,forged_bin/NFI-00103027.PNG,genuine_bin/NFI-02703027.PNG,0
26,25,genuine_bin/NFI-02502025.PNG,genuine_bin/NFI-02505025.PNG,1
27,7,genuine_bin/NFI-00701007.png,genuine_bin/NFI-00702007.png,1
28,22,forged_bin/NFI-00505022.png,genuine_bin/NFI-02203022.png,0
29,18,forged_bin/NFI-00304018.png,genuine_bin/NFI-01802018.png,0
30,23,forged_bin/NFI-00703023.png,genuine_bin/NFI-02302023.png,0
31,19,genuine_bin/NFI-01904019.png,genuine_bin/NFI-01905019.png,1
32,25,genuine_bin/NFI-02502025.PNG,genuine_bin/NFI-02504025.PNG,1
33,23,forged_bin/NFI-00703023.png,genuine_bin/NFI-02301023.png,0
